iter	Passed	Remaining
1381	23996	2048
1382	24013	2031
1383	24030	2014
1384	24046	1996
1385	24064	1979
1386	24079	1961
1387	24097	1944
1388	24114	1927
1389	24130	1909
1390	24148	1892
1391	24164	1874
1392	24180	1857
1393	24197	1839
1394	24214	1822
1395	24232	1805
1396	24248	1787
1397	24265	1770
1398	24282	1753
1399	24298	1735
1400	24316	1718
1401	24333	1700
1402	24348	1683
1403	24366	1666
1404	24385	1648
1405	24402	1631
1406	24419	1614
1407	24435	1596
1408	24453	1579
1409	24468	1561
1410	24484	1544
1411	24502	1527
1412	24520	1509
1413	24537	1492
1414	24552	1474
1415	24569	1457
1416	24586	1440
1417	24604	1422
1418	24621	1405
1419	24637	1388
1420	24654	1370
1421	24671	1353
1422	24689	1335
1423	24705	1318
1424	24721	1301
1425	24736	1283
1426	24753	1266
1427	24771	1248
1428	24788	1231
1429	24803	1214
1430	24821	1196
1431	24837	1179
1432	24853	1162
1433	24871	1144
1434	24887	1127
1435	24903	1109
1436	24920	1092
1437	24937	1075
1438	24953	1057
1439	24969	1040
1440	24987	1023
1441	25005	1005
1442	25022	988
1443	25038	971
1444	25055	953
1445	25071	936
1446	25089	918
1447	25106	901
1448	25123	884
1449	25139	866
1450	25157	849
1451	25172	832
1452	25190	814
1453	25205	797
1454	25222	780
1455	25240	762
1456	25257	745
1457	25275	728
1458	25291	710
1459	25308	693
1460	25325	676
1461	25341	658
1462	25359	641
1463	25376	624
1464	25392	606
1465	25409	589
1466	25427	571
1467	25444	554
1468	25460	537
1469	25478	519
1470	25494	502
1471	25511	485
1472	25529	467
1473	25544	450
1474	25561	433
1475	25577	415
1476	25594	398
1477	25612	381
1478	25628	363
1479	25645	346
1480	25662	329
1481	25678	311
1482	25695	294
1483	25711	277
1484	25728	259
1485	25744	242
1486	25762	225
1487	25778	207
1488	25796	190
1489	25812	173
1490	25830	155
1491	25846	138
1492	25862	121
1493	25878	103
1494	25895	86
1495	25913	69
1496	25929	51
1497	25945	34
1498	25962	17
1499	25979	0
